"","date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","MD","MA","MI","MN","MS","MO","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"62",2014-01-26,76,54,58,31,79,58,100,50,32,72,50,40,22,63,46,66,46,43,70,18,26,42,41,45,68,72,48,62,0,60,59,43,68,70,74,54,58,78,63,44,44,34,50,59,66,23,75,43,0,64,37
"63",2014-02-02,26,33,58,38,63,50,31,41,35,40,52,43,17,43,62,47,52,45,33,18,60,17,50,23,42,39,59,67,0,65,50,34,53,38,49,56,79,93,54,19,42,26,37,53,37,48,54,64,77,59,0
"64",2014-02-09,46,27,58,30,55,30,92,19,68,52,44,22,43,48,73,34,28,62,53,62,79,43,51,22,41,28,56,66,27,26,62,20,43,28,64,40,28,67,30,43,37,26,50,49,53,23,50,53,30,44,38
"65",2014-02-16,44,27,34,30,61,34,56,29,33,42,41,34,15,41,65,15,26,31,23,59,52,26,29,15,33,19,56,48,41,25,36,32,56,70,63,32,64,33,37,18,21,0,48,51,34,23,26,38,40,48,38
"66",2014-02-23,13,54,26,43,45,22,39,20,26,38,51,49,36,49,60,25,35,27,16,27,51,34,45,23,30,18,47,62,27,46,44,38,48,55,60,37,0,27,48,52,45,49,48,43,27,0,28,44,39,60,0
"67",2014-03-02,34,54,26,14,55,34,45,0,20,39,53,0,36,50,30,44,19,38,36,18,79,41,56,23,32,0,59,55,54,41,50,93,50,26,54,39,61,57,45,70,25,17,66,47,47,48,35,57,95,41,38
"68",2014-03-09,14,41,26,15,37,35,31,20,9,66,55,69,14,47,36,23,35,32,39,45,28,17,28,15,31,57,54,33,28,36,48,56,55,50,38,49,0,43,35,37,67,0,48,37,50,69,44,53,63,47,0
"69",2014-03-16,21,28,27,30,44,18,32,20,19,39,62,53,15,48,50,40,38,72,30,54,27,16,11,16,46,39,46,31,57,43,35,29,39,55,38,28,25,47,41,18,52,17,45,33,34,35,27,71,56,31,0
"70",2014-03-23,22,0,30,17,49,36,46,19,19,40,56,65,31,43,41,26,56,41,23,36,27,0,22,16,28,29,66,37,28,49,55,54,42,37,32,32,31,50,35,36,27,25,30,35,34,0,41,27,35,35,39
"71",2014-03-30,20,27,20,23,46,62,31,21,24,26,53,50,22,42,28,60,16,17,32,54,28,16,28,16,48,28,52,46,0,42,16,29,27,39,55,41,32,44,33,18,30,0,45,37,34,48,16,43,20,45,58
"72",2014-04-06,13,27,32,0,40,25,22,20,17,33,37,38,15,38,32,28,27,24,46,37,27,17,34,24,56,38,44,28,28,24,11,19,44,34,39,41,32,39,31,37,32,0,44,35,28,0,19,53,22,13,0
"73",2014-04-13,18,0,49,47,31,22,46,0,9,39,37,25,16,31,35,14,37,15,39,19,28,17,22,17,31,39,34,31,0,35,67,22,33,33,51,24,31,21,41,18,21,0,29,39,40,26,19,48,23,27,0
"74",2014-04-20,19,29,22,0,30,36,38,21,0,34,46,51,23,48,45,28,32,15,19,21,28,34,21,17,40,38,37,34,29,28,29,44,11,35,39,22,41,36,25,38,33,0,41,35,13,55,28,39,21,23,0
"75",2014-04-27,26,28,20,15,40,29,32,30,10,37,35,23,30,46,30,20,32,42,12,28,28,32,28,17,9,37,47,34,27,30,24,33,40,22,34,32,24,40,20,0,28,17,30,38,28,26,23,27,40,31,38
"76",2014-05-04,41,0,31,63,39,35,22,20,24,32,46,35,37,37,46,28,22,25,32,28,0,17,21,17,31,38,30,27,28,40,13,15,41,22,53,22,25,35,25,28,35,18,34,33,29,0,16,29,32,39,0
"77",2014-05-11,21,0,26,16,28,35,46,0,28,38,27,39,16,28,38,29,26,15,19,39,0,34,22,33,40,59,40,29,29,19,46,27,24,16,36,20,35,29,23,20,9,0,31,25,43,0,31,51,16,45,0
"78",2014-05-18,23,0,41,0,32,21,20,22,33,40,36,26,17,35,48,65,30,22,21,31,32,19,25,18,30,33,51,46,0,26,29,31,31,20,34,37,38,36,43,0,28,0,31,35,15,60,23,38,0,30,46
